,S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
0,1,ALURI CHINNARAO,Bahujan Samaj Party,1536,7,1543,1.02
1,2,CHERUKUVADA SRI RANGANADHA RAJU,Yuvajana Sramika Rythu Congress Party,58353,495,58848,39.09
2,3,NEKKANTI VENKATA SATYANARAYANA (SATISH),Indian National Congress,1859,13,1872,1.24
3,4,SATYANARAYANA PITHANI,Telugu Desam,84429,973,85402,56.73
4,5,ALLADA SURYA BHASKARA RAO,Jaathia Chethi Vruthula Ikya Vedika Party,275,0,275,0.18
5,6,KAKI SYAM KUMAR,Jaibhim Rao Bharat Party,215,0,215,0.14
6,7,VELAGALA SREENIVASA REDDY,Jai Bharat National Party,267,3,270,0.18
7,8,RAMOJU PURNA CHANDRA SEKHAR,Independent,150,0,150,0.1
8,9,SIKILE RATNARAJU,Independent,293,0,293,0.19
9,10,NOTA,None of the Above,1661,12,1673,1.11
